      0.0062      0.0000

      0.0125      0.0058

      0.0187      0.0392

      0.0250      0.1005

      0.0312      0.1766

      0.0375      0.2568

      0.0437      0.3349

      0.0500      0.4078

      0.0562      0.4743

      0.0625      0.5342

      0.0688      0.5878

      0.0750      0.6355

      0.0812      0.6777

      0.0875      0.7152

      0.0938      0.7483

      0.1000      0.7776

      0.1062      0.8035

      0.1125      0.8264

      0.1187      0.8466

      0.1250      0.8645

