      0.0010      0.0000

      0.0020      0.0000

      0.0030      0.0000

      0.0040      0.0000

      0.0050      0.0000

      0.0060      0.0001

      0.0070      0.0002

      0.0080      0.0006

      0.0090      0.0012

      0.0100      0.0023

      0.0110      0.0039

      0.0120      0.0061

      0.0130      0.0091

      0.0140      0.0128

      0.0150      0.0174

      0.0160      0.0227

      0.0170      0.0288

      0.0180      0.0357

      0.0190      0.0433

      0.0200      0.0516

      0.0210      0.0606

      0.0220      0.0701

