.00079350,  100,.01522684,   10
   -0.909091E-01   -0.818182E+00   -0.818182E+00    0.107114E+02
    0.909091E-01   -0.818182E+00   -0.818182E+00    0.105564E+02
    0.272727E+00   -0.818182E+00   -0.818182E+00    0.105749E+02
    0.454545E+00   -0.818182E+00   -0.818182E+00    0.107934E+02
    0.636364E+00   -0.818182E+00   -0.818182E+00    0.114368E+02
    0.818182E+00   -0.818182E+00   -0.818182E+00    0.133624E+02
    0.100000E+01   -0.818182E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01   -0.636364E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.636364E+00   -0.818182E+00    0.184149E+02
   -0.636364E+00   -0.636364E+00   -0.818182E+00    0.174448E+02
   -0.454545E+00   -0.636364E+00   -0.818182E+00    0.166276E+02
   -0.272727E+00   -0.636364E+00   -0.818182E+00    0.156674E+02
   -0.909091E-01   -0.636364E+00   -0.818182E+00    0.151363E+02
    0.909091E-01   -0.636364E+00   -0.818182E+00    0.149263E+02
    0.272727E+00   -0.636364E+00   -0.818182E+00    0.149513E+02
    0.454545E+00   -0.636364E+00   -0.818182E+00    0.152243E+02
    0.636364E+00   -0.636364E+00   -0.818182E+00    0.158903E+02
    0.818182E+00   -0.636364E+00   -0.818182E+00    0.173060E+02
    0.100000E+01   -0.636364E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01   -0.454545E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.454545E+00   -0.818182E+00    0.193435E+02
   -0.636364E+00   -0.454545E+00   -0.818182E+00    0.187598E+02
   -0.454545E+00   -0.454545E+00   -0.818182E+00    0.181806E+02
   -0.272727E+00   -0.454545E+00   -0.818182E+00    0.175803E+02
   -0.909091E-01   -0.454545E+00   -0.818182E+00    0.171909E+02
    0.909091E-01   -0.454545E+00   -0.818182E+00    0.170245E+02
    0.272727E+00   -0.454545E+00   -0.818182E+00    0.170573E+02
    0.454545E+00   -0.454545E+00   -0.818182E+00    0.172995E+02
    0.636364E+00   -0.454545E+00   -0.818182E+00    0.178133E+02
    0.818182E+00   -0.454545E+00   -0.818182E+00    0.187023E+02
    0.100000E+01   -0.454545E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01   -0.272727E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.272727E+00   -0.818182E+00    0.196180E+02
   -0.636364E+00   -0.272727E+00   -0.818182E+00    0.192398E+02
   -0.454545E+00   -0.272727E+00   -0.818182E+00    0.188604E+02
   -0.272727E+00   -0.272727E+00   -0.818182E+00    0.185024E+02
   -0.909091E-01   -0.272727E+00   -0.818182E+00    0.182555E+02
    0.909091E-01   -0.272727E+00   -0.818182E+00    0.181491E+02
    0.272727E+00   -0.272727E+00   -0.818182E+00    0.181866E+02
    0.454545E+00   -0.272727E+00   -0.818182E+00    0.183763E+02
    0.636364E+00   -0.272727E+00   -0.818182E+00    0.187388E+02
    0.818182E+00   -0.272727E+00   -0.818182E+00    0.192916E+02
    0.100000E+01   -0.272727E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01   -0.909091E-01   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.909091E-01   -0.818182E+00    0.197409E+02
   -0.636364E+00   -0.909091E-01   -0.818182E+00    0.194835E+02
   -0.454545E+00   -0.909091E-01   -0.818182E+00    0.192348E+02
   -0.272727E+00   -0.909091E-01   -0.818182E+00    0.190155E+02
   -0.909091E-01   -0.909091E-01   -0.818182E+00    0.188643E+02
    0.909091E-01   -0.909091E-01   -0.818182E+00    0.188028E+02
    0.272727E+00   -0.909091E-01   -0.818182E+00    0.188399E+02
