 1 2.670861314982176E-3 3744.1105398865443 14976.442159546177 29952.884319092354 59905.76863818471 119811.53727636942 239623.07455273884 479246.14910547767 958492.2982109553 1916984.5964219107 3833969.1928438214 7667938.385687643 15335876.771375285 30671753.54275057 61343507.08550114 122687014.17100228 245374028.34200457 490748056.68400913 981496113.3680183 447.56250041682506 227632.35615857536

 4 3.926735371351242E-5 254664.474539288 1018657.898157152 2037315.796314304 4074631.592628608 8149263.185257216 16298526.370514432 32597052.741028864 65194105.48205773 130388210.96411546 260776421.9282309 521552843.8564618 1.0431056877129236E+9 2.0862113754258473E+9 4.1724227508516946E+9 8.344845501703389E+9 1.6689691003406778E+10 3.3379382006813557E+10 6.675876401362711E+10 728022.2554453767 1283612.4614465032

 8 3.922218456864357E-5 254957.7518431894 1019831.0073727577 2039662.0147455153 4079324.0294910306 8158648.058982061 16317296.117964122 32634592.235928245 65269184.47185649 130538368.94371298 261076737.88742596 522153475.7748519 1.0443069515497038E+9 2.0886139030994077E+9 4.1772278061988153E+9 8.354455612397631E+9 1.6708911224795261E+10 3.3417822449590523E+10 6.6835644899181046E+10 1897489.417274133 2246028.1323048766

 16 6.499560549855232E-5 153856.55573626028 615426.2229450411 1230852.4458900823 2461704.8917801646 4923409.783560329 9846819.567120658 19693639.134241316 39387278.26848263 78774556.53696527 157549113.07393053 315098226.14786106 630196452.2957221 1.2603929045914443E+9 2.5207858091828885E+9 5.041571618365777E+9 1.0083143236731554E+10 2.0166286473463108E+10 4.0332572946926216E+10 1424887.549473335 2831924.3689112337

 32 6.478279829025269E-5 154361.96434732605 617447.8573893042 1234895.7147786084 2469791.429557217 4939582.859114434 9879165.718228867 19758331.436457735 39516662.87291547 79033325.74583094 158066651.49166188 316133302.98332375 632266605.9666475 1.264533211933295E+9 2.52906642386659E+9 5.05813284773318E+9 1.011626569546636E+10 2.023253139093272E+10 4.046506278186544E+10 4605863.052010724 5203261.659423033

 64 8.060596883296967E-5 124060.29162333912 496241.16649335646 992482.3329867129 1984964.6659734258 3969929.3319468517 7939858.663893703 15879717.327787407 31759434.655574813 63518869.31114963 127037738.62229925 254075477.2445985 508150954.489197 1.016301908978394E+9 2.032603817956788E+9 4.065207635913576E+9 8.130415271827152E+9 1.6260830543654305E+10 3.252166108730861E+10 4088619.7671277705 9311582.213550135

 128 8.299527689814568E-5 120488.78410601971 481955.13642407884 963910.2728481577 1927820.5456963154 3855641.0913926307 7711282.182785261 15422564.365570523 30845128.731141046 61690257.46228209 123380514.92456418 246761029.84912837 493522059.69825673 987044119.3965135 1.974088238793027E+9 3.948176477586054E+9 7.896352955172108E+9 1.5792705910344215E+10 3.158541182068843E+10 14787922.689046698 17110358.353190165

 256 1.1700903996825218E-4 85463.48216097901 341853.92864391604 683707.8572878321 1367415.7145756641 2734831.4291513283 5469662.858302657 10939325.716605313 21878651.433210626 43757302.86642125 87514605.7328425 175029211.465685 350058422.93137 700116845.86274 1.40023369172548E+9 2.80046738345096E+9 5.60093476690192E+9 1.120186953380384E+10 2.240373906760768E+10 14346446.082672235 25017329.414698523

 512 1.3046851381659508E-4 76646.84533815882 306587.3813526353 613174.7627052706 1226349.525410541 2452699.050821082 4905398.101642164 9810796.203284329 19621592.406568658 39243184.813137315 78486369.62627463 156972739.25254926 313945478.5050985 627890957.010197 1.255781914020394E+9 2.511563828040788E+9 5.023127656081576E+9 1.0046255312163153E+10 2.0092510624326305E+10 36327076.61069812 42019017.37975313

 1024 1.711552031338215E-4 58426.50306214342 233706.01224857368 467412.02449714736 934824.0489942947 1869648.0979885894 3739296.195977179 7478592.391954358 14957184.783908715 29914369.56781743 59828739.13563486 119657478.27126972 239314956.54253945 478629913.0850789 957259826.1701578 1.9145196523403156E+9 3.829039304680631E+9 7.658078609361262E+9 1.5316157218722525E+10 54173809.015372485 65449068.58989851

 2048 6.541488692164421E-4 15287.040107519075 61148.1604300763 122296.3208601526 244592.6417203052 489185.2834406104 978370.5668812208 1956741.1337624416 3913482.267524883 7826964.535049766 15653929.070099533 31307858.140199065 62615716.28039813 125231432.56079626 250462865.12159252 500925730.24318504 1.0018514604863701E+9 2.0037029209727402E+9 4.0074058419454803E+9 4173978.9719327083 122775012.87208977

 4096 4.203817807137966E-4 23787.900567480057 95151.60226992023 190303.20453984046 380606.4090796809 761212.8181593618 1522425.6363187237 3044851.2726374473 6089702.545274895 12179405.09054979 24358810.18109958 48717620.36219916 97435240.72439831 194870481.44879663 389740962.89759326 779481925.7951865 1.558963851590373E+9 3.117927703180746E+9 6.235855406361492E+9 19025408.08637911 185987504.16983128

 8192 5.43791800737381E-4 18389.39091475821 73557.56365903284 147115.12731806567 294230.25463613134 588460.5092722627 1176921.0185445254 2353842.0370890507 4707684.0741781015 9415368.148356203 18830736.296712406 37661472.59342481 75322945.18684962 150645890.37369925 301291780.7473985 602583561.494797 1.205167122989594E+9 2.410334245979188E+9 4.820668491958376E+9 35865968.96300495 237257728.3866861

 16384 7.801582105457783E-4 12817.9129115417 51271.6516461668 102543.3032923336 205086.6065846672 410173.2131693344 820346.4263386688 1640692.8526773376 3281385.705354675 6562771.41070935 13125542.8214187 26251085.6428374 52502171.2856748 105004342.5713496 210008685.1426992 420017370.2853984 840034740.5707968 1.6800694811415937E+9 3.3601389622831874E+9 63678894.26206817 284859102.85254425

 32768 1.2550191022455692E-3 7968.0062097121 31872.0248388484 63744.0496776968 127488.0993553936 254976.1987107872 509952.3974215744 1019904.7948431488 2039809.5896862976 4079619.179372595 8159238.35874519 16318476.71749038 32636953.43498076 65273906.86996152 130547813.73992305 261095627.4798461 522191254.9596922 1.0443825099193844E+9 2.0887650198387687E+9 101002064.25330627 318098266.3071283

 65536 2.186352852731943E-3 4573.827132937195 18295.30853174878 36590.61706349756 73181.23412699511 146362.46825399023 292724.93650798046 585449.8730159609 1170899.7460319218 2341799.4920638436 4683598.984127687 9367197.968255375 18734395.93651075 37468791.8730215 74937583.746043 149875167.492086 299750334.984172 599500669.968344 1.199001339936688E+9 139571923.22448036 350961053.8379176

 131072 3.9714123122394085E-3 2517.9959202879086 10071.983681151634 20143.96736230327 40287.93472460654 80575.86944921307 161151.73889842615 322303.4777968523 644606.9555937046 1289213.9111874092 2578427.8223748184 5156855.644749637 10313711.289499274 20627422.578998547 41254845.157997094 82509690.31599419 165019380.63198838 330038761.26397675 660077522.5279535 184003044.13893694 363676856.6102769

 262144 7.688210345804691E-3 1300.6928205933918 5202.771282373567 10405.542564747135 20811.08512949427 41622.17025898854 83244.34051797708 166488.68103595416 332977.3620719083 665954.7241438166 1331909.4482876332 2663818.8965752665 5327637.793150533 10655275.586301066 21310551.172602132 42621102.345204264 85242204.69040853 170484409.38081706 340968818.7616341 207896390.22900254 368779214.87020636

